epoch,step,test/reward,train/loss,train/reward,val/reward
161,1295,,,,-110.13700103759766
162,1299,,0.7011513710021973,-109.828125,
162,1303,,,,-110.39800262451172
163,1311,,,,-110.35600280761719
164,1319,,,,-110.21299743652344
165,1327,,,,-110.31800079345703
166,1335,,,,-110.40899658203125
167,1343,,,,-110.69200134277344
168,1349,,-21.812402725219727,-110.6953125,
168,1351,,,,-110.37699890136719
169,1359,,,,-110.67500305175781
170,1367,,,,-110.34300231933594
171,1375,,,,-110.58300018310547
172,1383,,,,-110.66699981689453
173,1391,,,,-110.54000091552734
174,1399,,-27.398012161254883,-111.42788696289062,
174,1399,,,,-110.43099975585938
175,1407,,,,-110.60299682617188
176,1415,,,,-110.59500122070312
177,1423,,,,-110.33499908447266
178,1431,,,,-110.68299865722656
179,1439,,,,-110.31400299072266
180,1447,,,,-110.18099975585938
181,1449,,-39.15013122558594,-111.41796875,
181,1455,,,,-110.49299621582031
182,1463,,,,-110.31900024414062
183,1471,,,,-110.16400146484375
184,1479,,,,-109.98200225830078
185,1487,,,,-110.25299835205078
186,1495,,,,-110.28700256347656
187,1499,,-22.173999786376953,-111.234375,
187,1503,,,,-110.15499877929688
188,1511,,,,-110.1510009765625
189,1519,,,,-110.10299682617188
190,1527,,,,-109.87100219726562
191,1535,,,,-110.09500122070312
192,1543,,,,-110.31199645996094
193,1549,,-25.311832427978516,-110.578125,
193,1551,,,,-110.1240005493164
194,1559,,,,-109.9739990234375
195,1567,,,,-110.31900024414062
196,1575,,,,-110.24199676513672
197,1583,,,,-110.02200317382812
198,1591,,,,-110.06400299072266
199,1599,,-21.730607986450195,-110.62500762939453,
199,1599,,,,-110.02899932861328
200,1607,,,,-110.13500213623047
201,1615,,,,-110.125
202,1623,,,,-110.27899932861328
203,1631,,,,-110.9000015258789
204,1639,,,,-110.68800354003906
205,1647,,,,-110.85700225830078
206,1649,,-26.396583557128906,-111.34765625,
206,1655,,,,-110.30999755859375
207,1663,,,,-110.38300323486328
208,1671,,,,-111.2699966430664
209,1679,,,,-110.5790023803711
210,1687,,,,-110.2770004272461
211,1695,,,,-110.15299987792969
212,1699,,-10.839096069335938,-111.671875,
212,1703,,,,-110.14199829101562
213,1711,,,,-110.03399658203125
214,1719,,,,-110.14199829101562
215,1727,,,,-110.31400299072266
216,1735,,,,-110.68900299072266
217,1743,,,,-110.83300018310547
218,1749,,-40.72404098510742,-111.87890625,
218,1751,,,,-110.49299621582031
219,1759,,,,-110.04100036621094
220,1767,,,,-110.78099822998047
221,1775,,,,-110.6729965209961
222,1783,,,,-110.26300048828125
223,1791,,,,-110.16500091552734
224,1799,,-39.743629455566406,-110.74519348144531,
224,1799,,,,-110.30699920654297
225,1807,,,,-110.29900360107422
226,1815,,,,-110.427001953125
227,1823,,,,-110.05899810791016
228,1831,,,,-110.15699768066406
229,1839,,,,-110.27899932861328
230,1847,,,,-110.26200103759766
231,1849,,-20.584442138671875,-109.7265625,
231,1855,,,,-110.23300170898438
232,1863,,,,-110.1760025024414
233,1871,,,,-110.25299835205078
234,1879,,,,-110.54399871826172
235,1887,,,,-110.0790023803711
236,1895,,,,-110.3219985961914
237,1899,,-13.869232177734375,-110.21484375,
237,1903,,,,-110.21199798583984
238,1911,,,,-110.39900207519531
239,1919,,,,-110.19300079345703
240,1927,,,,-110.58100128173828
241,1935,,,,-110.8759994506836
242,1943,,,,-110.4520034790039
243,1949,,-22.649208068847656,-110.73828125,
243,1951,,,,-110.51499938964844
244,1959,,,,-110.23699951171875
245,1967,,,,-110.36699676513672
246,1975,,,,-110.33799743652344
247,1983,,,,-110.43299865722656
248,1991,,,,-110.3010025024414
249,1999,,-13.978747367858887,-111.21634674072266,
249,1999,,,,-109.93399810791016
250,2007,,,,-110.0719985961914
251,2015,,,,-109.98500061035156
252,2023,,,,-110.12300109863281
253,2031,,,,-110.34500122070312
254,2039,,,,-110.37699890136719
255,2047,,,,-110.18099975585938
256,2049,,-51.65607833862305,-112.33984375,
256,2055,,,,-110.62799835205078
257,2063,,,,-110.65699768066406
258,2071,,,,-110.56400299072266
259,2079,,,,-110.11299896240234
260,2087,,,,-110.4729995727539
261,2095,,,,-110.322998046875
262,2099,,-30.323593139648438,-111.703125,
262,2103,,,,-110.56400299072266
263,2111,,,,-110.5469970703125
264,2119,,,,-110.5530014038086
265,2127,,,,-110.197998046875
266,2135,,,,-109.9749984741211
267,2143,,,,-109.97699737548828
268,2149,,-38.038516998291016,-111.109375,
268,2151,,,,-110.38300323486328
269,2159,,,,-110.04000091552734
270,2167,,,,-110.3270034790039
271,2175,,,,-110.12899780273438
272,2183,,,,-110.12999725341797
273,2191,,,,-110.23600006103516
274,2199,,30.047182083129883,-109.73077392578125,
274,2199,,,,-110.13999938964844
