file,FIFO,MOPNR,SPT,MWKR
01a.txt,8281.0,8321.0,8225.0,8632.0
02a.txt,8142.0,8505.0,8741.0,8852.0
03a.txt,7386.0,9013.0,9360.0,9994.0
04a.txt,8062.0,8292.0,8009.0,8590.0
05a.txt,7673.0,7801.0,8489.0,8891.0
06a.txt,7509.0,7968.0,8004.0,9020.0
07a.txt,10034.0,10510.0,10785.0,12128.0
08a.txt,10338.0,11951.0,12319.0,12296.0
09a.txt,10431.0,13413.0,13907.0,14232.0
10a.txt,10319.0,10745.0,11628.0,11345.0
11a.txt,10308.0,11201.0,11379.0,12181.0
12a.txt,10177.0,11063.0,11167.0,11973.0
13a.txt,14274.0,15188.0,15700.0,15757.0
14a.txt,14033.0,16107.0,16237.0,16121.0
15a.txt,13546.0,18557.0,17994.0,17884.0
16a.txt,14849.0,15085.0,15676.0,15831.0
17a.txt,14583.0,14825.0,15889.0,15394.0
18a.txt,13982.0,15732.0,15908.0,15881.0
