epoch,step,train/loss,train/reward,val/reward
170,1367,,,-110.58200073242188
171,1375,,,-110.32099914550781
172,1383,,,-110.6729965209961
173,1391,,,-110.65899658203125
174,1399,-14.063660621643066,-110.10577392578125,
174,1399,,,-110.677001953125
175,1407,,,-110.4469985961914
176,1415,,,-110.29100036621094
177,1423,,,-110.11799621582031
178,1431,,,-110.39600372314453
179,1439,,,-111.25599670410156
180,1447,,,-111.06199645996094
181,1449,-20.993135452270508,-110.94921875,
181,1455,,,-110.47599792480469
182,1463,,,-110.82599639892578
183,1471,,,-110.97100067138672
184,1479,,,-110.20099639892578
185,1487,,,-110.06199645996094
186,1495,,,-110.50199890136719
187,1499,5.7237725257873535,-111.4765625,
187,1503,,,-110.58799743652344
188,1511,,,-110.49700164794922
189,1519,,,-110.3479995727539
190,1527,,,-110.45099639892578
191,1535,,,-110.87699890136719
192,1543,,,-111.08899688720703
193,1549,-54.511940002441406,-111.92578125,
193,1551,,,-110.8489990234375
194,1559,,,-110.64800262451172
195,1567,,,-109.98899841308594
196,1575,,,-110.01799774169922
197,1583,,,-110.04399871826172
198,1591,,,-110.38500213623047
199,1599,-41.31254959106445,-110.49038696289062,
199,1599,,,-111.18099975585938
